X,Y,Z,rho,p,T,U,V,W
-8.192570000000000E-002, 1.504950000000000E-001, 0.000000000000000E+000, 1.400020000000000E+000, 1.000020000000000E+000, 1.000000000000000E+000, 5.000090000000000E+000,-2.632800000000000E-006,-4.193830000000000E-005
-7.811520000000000E-002, 1.504950000000000E-001, 0.000000000000000E+000, 1.400060000000000E+000, 1.000050000000000E+000, 1.000010000000000E+000, 4.999950000000000E+000, 3.429300000000000E-007, 1.393910000000000E-004
-7.430480000000000E-002, 1.504950000000000E-001, 0.000000000000000E+000, 1.400020000000000E+000, 1.000020000000000E+000, 1.000000000000000E+000, 4.999890000000000E+000, 5.556760000000000E-007,-3.793470000000000E-004
-7.049420000000001E-002, 1.504950000000000E-001, 0.000000000000000E+000, 1.399950000000000E+000, 9.999460000000000E-001, 9.999840000000000E-001, 4.999980000000000E+000,-8.644330000000000E-007,-1.607580000000000E-004
-6.668370000000000E-002, 1.504950000000000E-001, 0.000000000000000E+000, 1.399950000000000E+000, 9.999470000000000E-001, 9.999850000000000E-001, 5.000120000000000E+000,-2.042950000000000E-006, 2.723200000000000E-004
-6.287320000000000E-002, 1.504950000000000E-001,-2.494470000000000E-019, 1.400040000000000E+000, 1.000030000000000E+000, 1.000010000000000E+000, 5.000040000000000E+000, 1.672480000000000E-007,-2.118180000000000E-004
-5.906270000000000E-002, 1.504950000000000E-001, 1.307470000000000E-019, 1.400080000000000E+000, 1.000080000000000E+000, 1.000020000000000E+000, 4.999980000000000E+000, 5.293280000000000E-006, 1.997040000000000E-004
-5.525220000000000E-002, 1.504950000000000E-001,-2.494470000000000E-019, 1.400020000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 4.999850000000000E+000, 5.727670000000000E-006, 4.135720000000000E-004
-5.144170000000000E-002, 1.504950000000000E-001,-1.307470000000000E-019, 1.399930000000000E+000, 9.999270000000000E-001, 9.999790000000000E-001, 5.000050000000000E+000, 1.609580000000000E-006, 2.386770000000000E-005
-4.763120000000000E-002, 1.504950000000000E-001, 0.000000000000000E+000, 1.399950000000000E+000, 9.999420000000000E-001, 9.999840000000000E-001, 5.000080000000000E+000,-3.505220000000000E-006, 9.567760000000000E-005
-4.382070000000000E-002, 1.504950000000000E-001,-1.307470000000000E-019, 1.400040000000000E+000, 1.000040000000000E+000, 1.000010000000000E+000, 5.000020000000000E+000,-5.330780000000000E-006, 1.899970000000000E-004
-4.001020000000000E-002, 1.504950000000000E-001, 2.494470000000000E-019, 1.400060000000000E+000, 1.000060000000000E+000, 1.000020000000000E+000, 4.999940000000000E+000,-4.627280000000000E-006, 1.806620000000000E-004
-3.619970000000000E-002, 1.504950000000000E-001,-2.494470000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 4.999920000000000E+000,-1.625710000000000E-006,-3.528610000000000E-004
-3.238920000000000E-002, 1.504950000000000E-001, 0.000000000000000E+000, 1.399950000000000E+000, 9.999410000000000E-001, 9.999830000000000E-001, 4.999990000000000E+000, 4.391570000000000E-006, 2.204160000000000E-004
-2.857870000000000E-002, 1.504950000000000E-001, 0.000000000000000E+000, 1.399980000000000E+000, 9.999740000000000E-001, 9.999930000000000E-001, 5.000160000000000E+000, 3.341530000000000E-006, 4.294570000000000E-004
-2.476820000000000E-002, 1.504950000000000E-001,-1.307470000000000E-019, 1.400060000000000E+000, 1.000050000000000E+000, 1.000010000000000E+000, 4.999990000000000E+000, 3.414640000000000E-007,-3.586360000000000E-004
-2.095780000000000E-002, 1.504950000000000E-001, 0.000000000000000E+000, 1.400070000000000E+000, 1.000060000000000E+000, 1.000020000000000E+000, 4.999970000000000E+000,-2.464000000000000E-006,-3.594710000000000E-005
-1.714720000000000E-002, 1.504950000000000E-001, 0.000000000000000E+000, 1.399980000000000E+000, 9.999790000000000E-001, 9.999940000000000E-001, 4.999910000000000E+000, 7.286680000000000E-007, 5.908770000000000E-005
