rho,p,T,U,V,W
 1.738900000000000E+000, 5.807830000000000E+004, 1.163330000000000E+002, 9.929160000000001E+002, 7.634080000000000E+001,-2.108970000000000E-012
 1.669650000000000E+000, 5.491130000000000E+004, 1.145510000000000E+002, 9.936810000000000E+002, 6.751730000000001E+001, 2.055240000000000E-012
 1.599310000000000E+000, 5.172380000000000E+004, 1.126480000000000E+002, 9.945309999999999E+002, 5.798930000000000E+001,-1.838750000000000E-012
 1.530930000000000E+000, 4.864350000000000E+004, 1.106710000000000E+002, 9.956750000000000E+002, 4.816110000000000E+001, 2.089870000000000E-012
 1.468670000000000E+000, 4.585420000000000E+004, 1.087470000000000E+002, 9.971580000000000E+002, 3.894220000000000E+001,-2.449930000000000E-012
 1.415490000000000E+000, 4.348600000000000E+004, 1.070050000000000E+002, 9.983470000000000E+002, 3.088490000000000E+001, 1.578510000000000E-012
 1.370850000000000E+000, 4.151070000000000E+004, 1.054710000000000E+002, 9.992880000000000E+002, 2.397120000000000E+001, 2.044710000000000E-012
 1.334150000000000E+000, 3.989640000000000E+004, 1.041580000000000E+002, 1.000040000000000E+003, 1.816650000000000E+001,-8.446770000000000E-012
 1.304810000000000E+000, 3.861340000000000E+004, 1.030750000000000E+002, 1.000630000000000E+003, 1.344140000000000E+001, 1.553380000000000E-011
 1.282090000000000E+000, 3.762590000000000E+004, 1.022190000000000E+002, 1.001090000000000E+003, 9.728000000000000E+000,-2.083930000000000E-011
 1.265040000000000E+000, 3.688980000000000E+004, 1.015700000000000E+002, 1.001440000000000E+003, 6.910200000000000E+000, 2.414740000000000E-011
 1.252630000000000E+000, 3.635680000000000E+004, 1.010940000000000E+002, 1.001700000000000E+003, 4.837720000000000E+000,-2.658540000000000E-011
 1.243820000000000E+000, 3.598000000000000E+004, 1.007550000000000E+002, 1.001890000000000E+003, 3.351910000000000E+000, 2.570370000000000E-011
 1.237690000000000E+000, 3.571870000000000E+004, 1.005190000000000E+002, 1.002030000000000E+003, 2.307500000000000E+000,-1.388440000000000E-011
 1.233520000000000E+000, 3.554080000000000E+004, 1.003570000000000E+002, 1.002140000000000E+003, 1.587380000000000E+000,-1.679510000000000E-011
 1.230710000000000E+000, 3.542110000000000E+004, 1.002470000000000E+002, 1.002210000000000E+003, 1.096080000000000E+000, 6.694170000000000E-011
 1.228820000000000E+000, 3.534050000000000E+004, 1.001720000000000E+002, 1.002260000000000E+003, 7.598910000000000E-001,-1.270310000000000E-010
 1.227550000000000E+000, 3.528590000000000E+004, 1.001210000000000E+002, 1.002290000000000E+003, 5.286890000000000E-001, 1.814600000000000E-010
 1.226690000000000E+000, 3.524860000000000E+004, 1.000850000000000E+002, 1.002310000000000E+003, 3.701490000000000E-001,-2.171290000000000E-010
 1.226110000000000E+000, 3.522290000000000E+004, 1.000600000000000E+002, 1.002320000000000E+003, 2.617180000000000E-001, 2.273630000000000E-010
 1.225710000000000E+000, 3.520530000000000E+004, 1.000430000000000E+002, 1.002330000000000E+003, 1.867100000000000E-001,-2.094170000000000E-010
 1.225440000000000E+000, 3.519310000000000E+004, 1.000300000000000E+002, 1.002340000000000E+003, 1.344410000000000E-001, 1.616500000000000E-010
 1.225250000000000E+000, 3.518470000000000E+004, 1.000220000000000E+002, 1.002340000000000E+003, 9.773960000000000E-002,-8.674860000000000E-011
 1.225120000000000E+000, 3.517890000000000E+004, 1.000150000000000E+002, 1.002340000000000E+003, 7.178300000000000E-002,-4.161020000000000E-012
 1.225030000000000E+000, 3.517480000000000E+004, 1.000110000000000E+002, 1.002350000000000E+003, 5.330330000000000E-002, 9.369500000000001E-011
 1.224970000000000E+000, 3.517190000000000E+004, 1.000080000000000E+002, 1.002350000000000E+003, 4.004710000000000E-002,-1.637970000000000E-010
 1.224920000000000E+000, 3.516990000000000E+004, 1.000060000000000E+002, 1.002350000000000E+003, 3.047250000000000E-002, 1.994760000000000E-010
 1.224890000000000E+000, 3.516850000000000E+004, 1.000040000000000E+002, 1.002350000000000E+003, 2.347730000000000E-002,-1.923890000000000E-010
 1.224870000000000E+000, 3.516740000000000E+004, 1.000030000000000E+002, 1.002350000000000E+003, 1.830310000000000E-002, 1.468210000000000E-010
 1.224860000000000E+000, 3.516670000000000E+004, 1.000020000000000E+002, 1.002350000000000E+003, 1.442790000000000E-002,-8.070470000000000E-011
 1.224850000000000E+000, 3.516620000000000E+004, 1.000020000000000E+002, 1.002350000000000E+003, 1.148790000000000E-002, 1.674980000000000E-011
 1.224840000000000E+000, 3.516580000000000E+004, 1.000010000000000E+002, 1.002350000000000E+003, 9.228820000000000E-003, 3.053310000000000E-011
 1.224830000000000E+000, 3.516550000000000E+004, 1.000010000000000E+002, 1.002350000000000E+003, 7.472220000000000E-003,-6.000900000000000E-011
 1.224830000000000E+000, 3.516530000000000E+004, 1.000010000000000E+002, 1.002350000000000E+003, 6.090850000000000E-003, 7.963860000000000E-011
 1.224820000000000E+000, 3.516520000000000E+004, 1.000010000000000E+002, 1.002350000000000E+003, 4.993570000000000E-003,-9.720760000000000E-011
 1.224820000000000E+000, 3.516500000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 4.114940000000000E-003, 1.147930000000000E-010
 1.224820000000000E+000, 3.516500000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 3.406700000000000E-003,-1.286300000000000E-010
 1.224820000000000E+000, 3.516490000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.832510000000000E-003, 1.315520000000000E-010
 1.224820000000000E+000, 3.516480000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.365140000000000E-003,-1.161500000000000E-010
 1.224820000000000E+000, 3.516480000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.983480000000000E-003, 7.713850000000000E-011
