X,Y,Z,rho,p,T,U,V,W
 1.619220000000000E-001, 6.110150000000000E-002, 0.000000000000000E+000, 3.711040000000000E+000, 4.668860000000000E+000, 1.761350000000000E+000, 4.464930000000000E+000, 1.178670000000000E+000, 0.000000000000000E+000
 1.657320000000000E-001, 6.195650000000000E-002, 0.000000000000000E+000, 3.734210000000000E+000, 4.708500000000000E+000, 1.765280000000000E+000, 4.466050000000000E+000, 1.172360000000000E+000, 0.000000000000000E+000
 1.695420000000000E-001, 6.281150000000001E-002,-1.691340000000000E-019, 3.762630000000000E+000, 4.758940000000000E+000, 1.770710000000000E+000, 4.468740000000000E+000, 1.172840000000000E+000, 0.000000000000000E+000
 1.733520000000000E-001, 6.366650000000000E-002, 0.000000000000000E+000, 3.779550000000000E+000, 4.786490000000000E+000, 1.772990000000000E+000, 4.471420000000000E+000, 1.177970000000000E+000, 0.000000000000000E+000
 1.771620000000000E-001, 6.452150000000000E-002, 0.000000000000000E+000, 3.783940000000000E+000, 4.791960000000000E+000, 1.772960000000000E+000, 4.470200000000000E+000, 1.181130000000000E+000, 0.000000000000000E+000
 1.809720000000000E-001, 6.537640000000000E-002,-1.861920000000000E-019, 3.778740000000000E+000, 4.780970000000000E+000, 1.771330000000000E+000, 4.469090000000000E+000, 1.183140000000000E+000, 0.000000000000000E+000
 1.847820000000000E-001, 6.623140000000000E-002, 0.000000000000000E+000, 3.765980000000000E+000, 4.759680000000000E+000, 1.769410000000000E+000, 4.467040000000000E+000, 1.185980000000000E+000, 0.000000000000000E+000
 1.885920000000000E-001, 6.708640000000000E-002, 0.000000000000000E+000, 3.745050000000000E+000, 4.725180000000000E+000, 1.766410000000000E+000, 4.462230000000000E+000, 1.191930000000000E+000, 0.000000000000000E+000
 1.924020000000000E-001, 6.794140000000000E-002, 1.914810000000000E-019, 3.726320000000000E+000, 4.691880000000000E+000, 1.762770000000000E+000, 4.456880000000000E+000, 1.198930000000000E+000, 0.000000000000000E+000
 1.962120000000000E-001, 6.879639999999999E-002,-1.026950000000000E-019, 3.721460000000000E+000, 4.680930000000000E+000, 1.760950000000000E+000, 4.454460000000000E+000, 1.201370000000000E+000, 0.000000000000000E+000
 2.000220000000000E-001, 6.965140000000000E-002, 0.000000000000000E+000, 3.723180000000000E+000, 4.682530000000000E+000, 1.760740000000000E+000, 4.453900000000000E+000, 1.201340000000000E+000, 0.000000000000000E+000
 2.038320000000000E-001, 7.050629999999999E-002,-1.971010000000000E-019, 3.730070000000000E+000, 4.691770000000000E+000, 1.760960000000000E+000, 4.454110000000000E+000, 1.199170000000000E+000, 0.000000000000000E+000
 2.076420000000000E-001, 7.136130000000000E-002,-1.055640000000000E-019, 3.748070000000000E+000, 4.721650000000000E+000, 1.763660000000000E+000, 4.458340000000000E+000, 1.195050000000000E+000, 0.000000000000000E+000
 2.114520000000000E-001, 7.221630000000000E-002, 3.076080000000000E-019, 3.772920000000000E+000, 4.766960000000000E+000, 1.768860000000000E+000, 4.465890000000000E+000, 1.191110000000000E+000, 0.000000000000000E+000
 2.152620000000000E-001, 7.307130000000001E-002, 0.000000000000000E+000, 3.792620000000000E+000, 4.802830000000000E+000, 1.772910000000000E+000, 4.470430000000000E+000, 1.190000000000000E+000, 0.000000000000000E+000
 2.190720000000000E-001, 7.392630000000000E-002, 3.017100000000000E-019, 3.803410000000000E+000, 4.820990000000000E+000, 1.774570000000000E+000, 4.470030000000000E+000, 1.191100000000000E+000, 0.000000000000000E+000
 2.228820000000000E-001, 7.478129999999999E-002,-3.169770000000000E-019, 3.807960000000000E+000, 4.827430000000000E+000, 1.774820000000000E+000, 4.468370000000000E+000, 1.190650000000000E+000, 0.000000000000000E+000
 2.266910000000000E-001, 7.563630000000000E-002,-3.202390000000000E-019, 3.808980000000000E+000, 4.828000000000000E+000, 1.774550000000000E+000, 4.467580000000000E+000, 1.189830000000000E+000, 0.000000000000000E+000
 2.305010000000000E-001, 7.649120000000000E-002, 0.000000000000000E+000, 3.807780000000000E+000, 4.823690000000000E+000, 1.773530000000000E+000, 4.467430000000000E+000, 1.188910000000000E+000, 0.000000000000000E+000
 2.343110000000000E-001, 7.734620000000000E-002, 1.130210000000000E-019, 3.800680000000000E+000, 4.808370000000000E+000, 1.771190000000000E+000, 4.467560000000000E+000, 1.188890000000000E+000, 0.000000000000000E+000
 2.381210000000000E-001, 7.820120000000000E-002, 2.283700000000000E-019, 3.780970000000000E+000, 4.772280000000000E+000, 1.767060000000000E+000, 4.467700000000000E+000, 1.191920000000000E+000, 0.000000000000000E+000
 2.419310000000000E-001, 7.905619999999999E-002, 0.000000000000000E+000, 3.766800000000000E+000, 4.746780000000000E+000, 1.764230000000000E+000, 4.465360000000000E+000, 1.195790000000000E+000, 0.000000000000000E+000
 2.457410000000000E-001, 7.991120000000000E-002, 2.211100000000000E-019, 3.762850000000000E+000, 4.738210000000000E+000, 1.762900000000000E+000, 4.463140000000000E+000, 1.196840000000000E+000, 0.000000000000000E+000
 2.495510000000000E-001, 8.076620000000000E-002, 0.000000000000000E+000, 3.764050000000000E+000, 4.738540000000000E+000, 1.762460000000000E+000, 4.462010000000000E+000, 1.196110000000000E+000, 0.000000000000000E+000
 2.533610000000000E-001, 8.162110000000000E-002, 0.000000000000000E+000, 3.766590000000000E+000, 4.740520000000000E+000, 1.762010000000000E+000, 4.461880000000000E+000, 1.194650000000000E+000, 0.000000000000000E+000
 2.571710000000000E-001, 8.247610000000000E-002, 0.000000000000000E+000, 3.767750000000000E+000, 4.740440000000000E+000, 1.761430000000000E+000, 4.462790000000000E+000, 1.195230000000000E+000, 0.000000000000000E+000
 2.609810000000000E-001, 8.333110000000001E-002, 0.000000000000000E+000, 3.768360000000000E+000, 4.739900000000000E+000, 1.760950000000000E+000, 4.463260000000000E+000, 1.196790000000000E+000, 0.000000000000000E+000
 2.647910000000000E-001, 8.418610000000000E-002,-1.231460000000000E-019, 3.772620000000000E+000, 4.745680000000000E+000, 1.761100000000000E+000, 4.463560000000000E+000, 1.197680000000000E+000, 0.000000000000000E+000
 2.686010000000000E-001, 8.504109999999999E-002, 0.000000000000000E+000, 3.781880000000000E+000, 4.760120000000000E+000, 1.762140000000000E+000, 4.463540000000000E+000, 1.196920000000000E+000, 0.000000000000000E+000
 2.724110000000000E-001, 8.589600000000000E-002,-2.399250000000000E-019, 3.795100000000000E+000, 4.781940000000000E+000, 1.764050000000000E+000, 4.463640000000000E+000, 1.194630000000000E+000, 0.000000000000000E+000
 2.762210000000000E-001, 8.675099999999999E-002, 1.208160000000000E-020, 3.808070000000000E+000, 4.803120000000000E+000, 1.765830000000000E+000, 4.464850000000000E+000, 1.192950000000000E+000, 0.000000000000000E+000
 2.800310000000000E-001, 8.760600000000000E-002,-1.290110000000000E-019, 3.816360000000000E+000, 4.815610000000000E+000, 1.766570000000000E+000, 4.466160000000000E+000, 1.193490000000000E+000, 0.000000000000000E+000
 2.838410000000000E-001, 8.846100000000000E-002, 0.000000000000000E+000, 3.821080000000000E+000, 4.821870000000000E+000, 1.766680000000000E+000, 4.466670000000000E+000, 1.194820000000000E+000, 0.000000000000000E+000
 2.876510000000000E-001, 8.931600000000001E-002, 0.000000000000000E+000, 3.823450000000000E+000, 4.823990000000000E+000, 1.766370000000000E+000, 4.466790000000000E+000, 1.195360000000000E+000, 0.000000000000000E+000
 2.914610000000000E-001, 9.017090000000000E-002, 0.000000000000000E+000, 3.823660000000000E+000, 4.821960000000000E+000, 1.765520000000000E+000, 4.466520000000000E+000, 1.195140000000000E+000, 0.000000000000000E+000
 2.952710000000000E-001, 9.102590000000001E-002, 0.000000000000000E+000, 3.821680000000000E+000, 4.815950000000000E+000, 1.764240000000000E+000, 4.465240000000000E+000, 1.194650000000000E+000, 0.000000000000000E+000
